"ID","Title","start","end","country","common_name","sci_name","subject.type","toxicant.specific","toxicant.group","sample.type","group","sample.size","exposed","proportion","Age.Class","Sex","concentration.level.estimate.type","concentration..ND.for.non.detects.","Detection.limit..if.reported.","SD.of.concentration","minimum","maximum","unit.of.measure","wet.dry.weight.","sublethal.effects.assessed.","sublethal.specific","sublethal.type","Continent","BodyMass.Value"
90,"The role of DDE, PCB, coplanar","1995","1997","Sweden","White-Tailed Eagle","Haliaeetus albicilla","wild","Total PCBs","PCBs","egg(s)","Interior",2,NA,NA,"egg(s)","unknown/mixed","geometric mean","560","1E-3",NA,"140","990","μg/g","lipid weight","yes","Productivity & egg shell thickness","Nesting Success","Europe",4729.27
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","4.8","0.02",NA,"13.33","0.64","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,6,NA,"0.16","adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.01","0.01",NA,"0.03","0.01","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDE","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","25.78","0.05",NA,"54.59","7.52","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.31","0.01",NA,"0.71","0.05","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,6,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.2","0.01",NA,"0.47","0.1","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,6,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,6,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.01",NA,NA,NA,"ng g−1","dry","No","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDT","organochlorine insecticides","blood",NA,6,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,6,NA,"0","adult","unknown/mixed","arithmetic mean","ND","3*SD of procedural blank",NA,NA,NA,"ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.25","0.01",NA,"1.1000000000000001","0.1","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.09","0.02",NA,"0.48","0.03","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BTBPE","flame retardants","blood",NA,6,NA,"0.16","adult","unknown/mixed","arithmetic mean","ND","3*SD of procedural blank",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","1.61","3*SD of procedural blank",NA,NA,"0.33","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 183","flame retardants","blood",NA,6,NA,"0.33","adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 153","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.17","4.0000000000000001E-3",NA,NA,"0.06","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 154","flame retardants","blood",NA,6,NA,"0.33","adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 99","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.47","2E-3",NA,NA,"0.03","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 100","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.37","2E-3",NA,NA,"0.03","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 47","flame retardants","blood",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","0.63","2E-3",NA,"1.33","0.09","ng g−1","wet","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","BDE 28","flame retardants","blood",NA,6,NA,"0.16","adult","unknown/mixed","arithmetic mean","ND","2E-3",NA,NA,NA,"ng g−1","wet","No","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","p,p′-DDT","organochlorine insecticides","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","10.68","0.05",NA,"18.649999999999999","3.9","ng g−1",NA,"no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Spotted Owlet","Athene brama","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,6,6,NA,"adult","unknown/mixed","arithmetic mean","1.88","3*SD of procedural blank",NA,"7.88","0.3","ng g−1","dry","no","none","none","Asia",112
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDT","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","4.97","0.05",NA,"1.94","12.05","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.53","2E-3",NA,"0.02","1","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.03","2E-3",NA,"0.01","1.25","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.11","2E-3",NA,"0.02","1.25","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","7.0000000000000007E-2","0.01",NA,"0.01","0.09","ng g−1","dry","No","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.13","0.02",NA,"0.08","0.19","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDE","organochlorine insecticides","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","5.57","0.05",NA,"2.4300000000000002","16.68","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","blood",NA,8,NA,"0","adult","unknown/mixed","arithmetic mean","ND","3*SD of procedural blank",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","1.17","3*SD of procedural blank",NA,"0.1","4.25","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 183","flame retardants","blood",NA,8,NA,"0.37","adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.03","4.0000000000000001E-3",NA,"0.01","0.75","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","blood",NA,8,NA,"0.12","adult","unknown/mixed","arithmetic mean","ND","4.0000000000000001E-3",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","HCB (Hexachlorobenzene)","organochlorine insecticides","blood",NA,8,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDT","organochlorine insecticides","blood",NA,8,NA,"0","adult","unknown/mixed","arithmetic mean","ND","0.02",NA,NA,NA,"ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 47","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.74","0.01",NA,"0.19","1.1399999999999999","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 100","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.21","0.01",NA,"0.04","0.05","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BTBPE","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.14000000000000001","3*SD of procedural blank",NA,"0.01",NA,"ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","Sum of all PBDEs","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","2.63","3*SD of procedural blank",NA,"0.68","6.44","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 183","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.3","0.01",NA,"0.01","2.2000000000000002","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","p,p′-DDE","organochlorine insecticides","blood",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","1.56","0.02",NA,"0.03","17.5","ng g−1","wet","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 99","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.93","0.01",NA,"0.28000000000000003","1.99","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 28","flame retardants","blood",NA,8,NA,"0","adult","unknown/mixed","arithmetic mean","ND","2E-3",NA,NA,NA,"ng g−1","wet","No","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 154","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.15","0.01",NA,"0.06","0.23","ng g−1","dry","no","none","none","Asia",734.1
112,"Oxidative stress responses in","unknown",NA,"Pakistan","Black Kite","Milvus migrans","wild","BDE 153","flame retardants","feathers - tail/retrices",NA,8,8,NA,"adult","unknown/mixed","arithmetic mean","0.17","0.01",NA,"0.09","0.38","ng g−1","dry","no","none","none","Asia",734.1
113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","chlorophacinone","anticoagulant rodenticides","blood",NA,97,3,NA,"juvenile","unknown/mixed",NA,"ND","UNK",NA,NA,NA,NA,NA,"yes","Body Condition","Morphology","N. America",1101.16
113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","bromadiolone","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"ND","UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology","N. America",1101.16
113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","diphacinone","anticoagulant rodenticides","blood",NA,97,5,NA,"juvenile","unknown/mixed",NA,"ND","UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology","N. America",1101.16
113,"SECONDARY ANTICOAGULANT RODENT","2013","2015","United States of America","Red-Tailed Hawk","Buteo jamaicensis","wild","brodifacoum","anticoagulant rodenticides","blood",NA,97,1,NA,"juvenile","unknown/mixed",NA,"ND","UNK",NA,NA,NA,NA,NA,"no","Body Condition","Morphology","N. America",1101.16
115,"Mercury, methylmercury, and se","1999","2000","Spain","Western Marsh-Harrier","Circus aeruginosus","wild","MeHg","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean","88",NA,NA,"100","70","percent","wet","no","none","none","Europe",704.07
115,"Mercury, methylmercury, and se","1999","2000","Spain","Western Marsh-Harrier","Circus aeruginosus","wild","Hg","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean","43.2",NA,NA,"78.3","19.3","ng/mL","wet","no","none","none","Europe",704.07
115,"Mercury, methylmercury, and se","1999","2000","Spain","Western Marsh-Harrier","Circus aeruginosus","wild","Se","heavy metals","blood",NA,15,NA,NA,"nestling","unknown/mixed","geometric mean","299",NA,NA,"487","132","ng/mL","wet","no","none","none","Europe",704.07
115,"Mercury, methylmercury, and se","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Se","heavy metals","blood",NA,8,NA,NA,"nestling","unknown/mixed","geometric mean","293","1.3 ng/mL",NA,"316","271","ng/mL","wet","no","none","none","Europe",759.95
115,"Mercury, methylmercury, and se","1999","2000","Spain","Peregrine Falcon","Falco peregrinus","wild","Hg","heavy metals","blood",NA,3,NA,NA,"adult","unknown/mixed","geometric mean","567","See Notes",NA,"587","547","ng/mL","wet","no","none","none","Europe",759.95
